HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
-0.363122845,-0.005759804,-0.630712233,-0.147523321,1.388574712,0.87514257,1.460551577
-0.386175671,0.026295965,-0.650100528,-0.166211236,1.328976744,0.924330472,1.161526659
-0.47838673,-0.133983052,-0.688695908,-0.20306795,0.972364954,0.68156452,1.161526659
-0.489913102,-0.037815631,-0.688695908,-0.184380034,1.001675465,0.778353546,0.862610655
-0.443807614,-0.037815631,-0.650100528,-0.147523321,1.061273666,0.778353546,0.525226717
-0.397702043,0.058351734,-0.64357736,-0.110666623,1.240068034,0.924330472,0.440880733
-0.132595158,0.443021535,-0.534133156,0.018591419,2.192660432,1.697056082,0.617200857
-0.086489588,0.603300609,-0.501879735,0.147849461,2.252258399,2.277790231,0.655559667
-0.409228416,0.475077304,-0.476149481,0.221562858,0.169256182,1.021119498,0.494604976
-0.581952219,0.250686691,-0.572728537,0.036760202,-0.099423612,0.924330472,0.034625158
-0.512793905,0.250686691,-0.55986341,0.055448118,0.169256182,1.116321743,0.310656697
-0.374649217,0.250686691,-0.521268007,0.055448118,0.645063907,1.116321743,0.325913007
-0.558899393,0.250686691,-0.592116831,0.055448118,0.050060014,1.165509645,0.226310712
-0.558899393,0.31479823,-0.598458812,0.258419557,0.317763094,1.309899793,0.15733016
-0.489913102,0.443021535,-0.476149481,0.3134451,-0.217642833,1.021119498,0.26456061
-0.489913102,0.539188956,-0.4698075,0.3134451,-0.188332322,1.165509645,0.019259934
-0.639584161,0.186575039,-0.611323939,0.018591419,-0.159021812,1.116321743,0.256932454
-0.547373021,0.15451927,-0.624189066,-0.018265279,0.287475403,1.116321743,0.218573644
-0.397702043,0.410965765,-0.463284332,0.239731641,0.287475403,1.116321743,0.387265405
-0.420754788,0.475077304,-0.476149481,0.239731641,0.227877435,1.213110767,0.17258647
-0.443807614,0.475077304,-0.476149481,0.239731641,0.079370524,1.165509645,0.080612331
-0.489913102,0.443021535,-0.489014586,0.239731641,-0.099423612,1.165509645,0.095977763
-0.535846649,0.443021535,-0.521268007,0.221562858,-0.159021812,1.165509645,0.095977763
-0.570425765,0.410965765,-0.534133156,0.202874943,-0.30752849,1.116321743,0.28766311
-0.466860358,0.507133187,-0.431030911,0.295276317,-0.336839001,1.165509645,0.433252578
-0.47838673,0.475077304,-0.398958676,0.3134451,-0.426724659,1.021119498,0.279926041
-0.47838673,0.539188956,-0.398958676,0.387158497,-0.486322859,1.021119498,0.318284852
-0.47838673,0.507133187,-0.392435509,0.387158497,-0.575231337,0.971931596,0.394893767
-0.581952219,0.507133187,-0.476149481,0.387158497,-0.575231337,0.971931596,0.46387432
-0.43228116,0.603300609,-0.360182088,0.498247725,-0.336839001,1.06872062,0.555957373
-0.420754788,0.603300609,-0.463284332,0.387158497,0.198566692,1.06872062,0.341278439
-0.397702043,0.571244726,-0.4698075,0.387158497,0.287475403,1.165509645,0.433252578
-0.409228416,0.603300609,-0.450419184,0.479559809,0.138968725,1.165509645,0.379637249
-0.466860358,0.571244726,-0.456761165,0.424534328,-0.099423612,1.06872062,0.134336574
0.339814728,1.404695751,0.283618033,1.328302386,0.258164893,1.213110767,0.417887146
0.662381533,1.628608182,0.560490203,0.922359447,0.883456477,1.406688817,0.2493043
0.29370924,1.404695751,0.303006306,0.719387977,0.317763094,1.649454769,0.402630836
0.420499415,1.788887256,0.431657618,0.941047362,0.198566692,1.552665745,0.333650283
0.143866158,1.276472675,0.187038956,0.663843425,0.109658214,1.793845108,0.456246164
0.432025869,1.500384877,0.341601751,0.885502687,-0.009537954,1.503477843,0.532963786
0.328288274,1.340584213,0.354466813,0.996072844,0.109658214,1.552665745,0.387265405
0.339814728,1.340584213,0.328736603,0.866814771,0.436959262,1.503477843,0.90859762
0.466604903,1.276472675,0.335078541,0.885502687,0.58546594,1.600267058,0.954584794
0.374393926,1.116193601,0.283618033,0.553273268,0.317763094,1.503477843,1.169154813
0.351341018,1.020026065,0.270752885,0.626986665,0.61477645,1.552665745,1.107911331
0.236077298,1.052081834,0.167650683,0.719387977,0.436959262,1.697056082,0.555957373
0.259130042,1.244416905,0.341601751,0.738075893,0.169256182,1.697056082,0.525226717
0.259130042,1.084137831,0.315871454,0.941047362,-0.188332322,1.503477843,1.107911331
0.420499415,1.628608182,0.457387915,0.81178929,0.169256182,1.406688817,1.330218419
0.316761984,1.532440646,0.296483182,1.088474156,-0.128734122,1.406688817,0.969841103
0.420499415,1.276472675,0.405927408,0.756244738,0.198566692,1.697056082,0.785892825
0.316761984,1.020026065,0.315871454,0.645674581,-0.247930291,1.406688817,1.015828276
0.478131357,1.308528444,0.412450532,1.069786241,-0.128734122,1.600267058,0.962212948
0.40897296,1.276472675,0.41879247,0.885502687,0.138968725,1.697056082,0.755271084
0.800698161,1.532440646,0.65072717,0.756244738,0.912766987,1.841446229,0.893232396
0.547289752,1.244416905,0.509029609,1.088474156,0.823858276,1.793845108,0.70928391
0.466604903,1.14824937,0.354466813,0.663843425,0.793570818,1.793845108,1.008199914
0.362867472,1.052081834,0.245022674,0.479559809,0.883456477,1.841446229,1.115539485
0.650855079,1.468329108,0.509029609,0.941047362,0.764260075,1.697056082,1.1921484
0.720013474,1.596552184,0.541101844,0.903671532,1.270355258,1.793845108,1.345474937
0.351341018,1.43627311,0.322213392,0.941047362,0.496557229,1.697056082,1.054187088
0.224550844,1.404695751,0.219292377,0.977904123,0.347073603,1.744657204,1.399199179
0.385920217,1.628608182,0.38019711,1.180356398,0.287475403,1.744657204,1.445186145
0.29370924,1.628608182,0.367331962,0.996072844,0.227877435,1.649454769,1.52953213
0.316761984,1.372639982,0.257887736,1.162187553,0.287475403,1.938235254,1.376205593
0.547289752,1.500384877,0.405927408,1.125330916,1.001675465,1.890634132,1.652128218
0.5357633,1.404695751,0.41879247,0.922359447,0.883456477,1.890634132,1.613878114
0.489657812,1.372639982,0.386720321,0.903671532,0.793570818,1.744657204,1.245872642
0.558816043,1.372639982,0.38019711,0.829958135,1.151159323,1.793845108,0.479239544
0.432025869,1.372639982,0.277276095,0.81178929,1.001675465,1.987422967,0.555957373
